"","teamind01","teamind02","teamind03","teamind04","teamind05","teamind06","teamind07","teamind08","teamind09","teamind10","teamind11","teamind12","teamind13","teamind14","teamind15","teamind16","teamind17","teamind18","teamind19","teamind20"
"529",3,4,3,4,3,4,4,3,3,3,3,3,3,3,4,3,3,4,4,4
"125",5,4,4,5,2,4,5,3,5,3,3,1,5,5,4,3,4,4,5,4
"29",5,4,1,3,3,1,5,3,5,2,1,2,5,5,5,3,3,5,5,4
"50",5,4,1,5,2,1,5,2,5,5,5,5,5,5,5,4,4,5,5,5
"306",4,5,4,4,3,4,5,1,5,4,5,1,4,3,5,2,4,5,5,5
"143",5,3,3,4,4,4,5,1,4,1,5,2,5,4,5,1,3,5,4,5
"248",3,4,4,5,2,5,4,5,5,5,3,4,5,5,5,1,3,3,5,4
"310",5,4,1,5,1,1,5,4,5,4,2,5,3,5,5,2,3,4,5,5
"324",4,4,3,3,3,3,4,3,3,3,3,3,4,3,4,4,2,4,5,3
"581",4,3,2,5,3,2,5,4,4,2,3,2,4,4,5,3,4,3,4,4
"97",4,2,4,2,2,4,2,2,5,1,4,2,4,4,5,1,4,5,5,2
"12",3,4,4,4,4,3,5,5,5,3,5,1,5,4,5,5,3,5,5,4
"293",5,5,3,4,2,5,5,3,5,4,4,4,5,4,5,3,4,4,5,4
"448",5,3,4,4,3,3,5,3,4,4,1,2,4,4,4,3,3,4,4,4
"180",5,3,3,5,1,1,5,3,5,3,5,4,4,5,5,3,3,5,5,5
"289",5,4,3,4,4,3,4,5,3,2,5,2,4,4,5,4,4,5,5,4
"334",3,2,2,3,3,4,3,2,3,3,3,5,5,3,3,3,3,4,3,3
"59",5,5,3,5,3,2,3,3,3,4,2,4,4,5,5,3,4,4,4,4
"465",5,5,4,5,2,3,5,1,5,3,3,5,5,5,2,5,3,5,5,5
"555",4,3,3,3,4,2,4,3,4,5,5,2,3,5,3,4,5,3,4,4
"171",5,5,5,5,5,4,4,4,5,4,5,5,4,4,5,1,4,5,5,4
"142",4,4,4,4,2,3,4,3,3,4,2,2,4,2,2,4,3,4,4,4
"404",5,4,4,4,2,5,4,4,5,1,3,1,5,5,4,3,5,5,5,4
"455",4,4,2,4,2,2,4,3,5,2,5,5,5,2,5,4,4,4,4,4
"343",5,4,3,3,3,3,4,3,5,1,1,2,5,3,3,5,5,5,5,5
"73",5,1,5,5,1,1,5,2,5,1,3,3,5,5,5,1,4,5,5,1
"550",5,4,3,5,2,3,5,4,5,5,2,4,5,5,4,3,3,4,5,5
"327",5,3,4,3,3,3,5,3,3,3,4,2,4,3,4,3,2,3,5,3
"322",2,4,3,3,1,4,4,2,2,2,1,2,4,2,5,2,2,3,5,4
"60",5,2,3,3,4,2,3,2,5,2,4,2,5,4,5,4,5,4,4,4
"231",3,2,4,5,3,3,5,4,4,4,5,3,4,5,5,5,3,5,5,5
"210",4,2,2,2,4,2,1,3,4,2,4,5,4,4,5,2,3,4,2,1
"127",4,3,3,2,2,3,4,3,4,3,3,2,5,3,4,1,4,5,4,3
"162",4,2,2,5,3,1,4,1,3,5,4,1,5,4,5,4,4,5,5,5
"559",4,4,4,3,2,3,1,1,4,3,2,2,4,5,3,4,3,5,4,5
"41",5,5,5,5,1,4,5,5,4,5,4,1,5,3,5,5,3,5,5,5
"278",5,4,3,4,2,4,4,3,5,3,5,4,3,5,4,3,3,4,4,4
"294",4,4,4,5,2,2,4,2,4,4,5,4,4,3,4,4,4,4,4,4
"458",4,5,5,5,2,5,5,4,5,5,5,2,5,5,5,5,4,5,5,5
"214",5,3,1,4,5,2,3,1,4,1,3,4,4,3,2,3,1,4,4,4
"507",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"323",3,3,3,3,3,3,3,2,3,3,3,3,5,4,3,3,4,4,5,3
"93",3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3
"26",4,3,2,4,4,2,4,2,4,3,4,3,3,4,4,3,3,4,5,5
"226",4,2,2,2,1,2,4,1,3,2,4,2,4,4,5,3,3,4,5,4
"114",3,3,5,3,3,4,3,3,3,3,2,1,3,3,3,4,2,3,4,3
"317",5,3,4,4,2,4,4,4,5,4,5,2,5,5,5,4,4,5,4,4
"252",4,2,3,2,2,4,4,2,3,4,4,2,3,4,5,3,4,3,4,4
"314",4,4,4,4,2,4,5,1,4,5,5,2,3,4,4,3,3,3,4,4
"270",3,4,2,4,2,3,4,3,3,4,4,1,4,3,4,3,4,3,3,4
"311",4,2,4,4,1,4,4,4,4,3,2,2,4,3,4,3,4,3,5,4
"336",5,4,4,3,2,2,1,3,5,3,4,2,5,4,5,4,4,3,4,3
"266",5,5,5,5,2,5,5,4,5,5,5,3,5,5,5,5,4,5,5,5
"546",5,2,2,5,4,5,5,5,5,5,5,3,4,5,5,5,3,5,5,5
"95",4,4,3,3,3,3,5,4,3,4,3,3,5,4,3,3,3,5,4,4
"510",5,4,2,4,2,4,4,1,5,4,5,2,5,5,5,2,3,5,5,4
"509",5,4,3,4,2,3,4,4,4,4,4,2,4,5,4,4,4,5,4,4
"518",5,4,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5
"124",5,2,3,4,2,1,5,5,3,4,4,2,5,4,5,5,5,5,5,3
"313",4,3,2,4,5,3,4,3,5,3,5,2,5,5,5,3,1,4,4,4
"513",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"431",5,5,5,5,3,5,4,4,4,3,1,5,4,5,4,5,4,3,4,4
"288",4,4,3,4,3,2,4,4,3,4,5,2,3,3,5,3,3,4,5,4
"241",5,4,4,4,2,4,4,5,4,3,5,3,5,5,5,1,4,5,5,4
"297",3,3,2,3,4,3,4,2,3,4,3,2,3,3,3,3,3,3,4,4
"292",3,3,5,3,3,4,3,4,5,1,5,5,3,3,5,4,2,2,4,3
"444",3,1,1,5,5,5,5,5,5,5,5,5,4,5,4,5,5,2,5,1
"133",4,4,3,5,2,4,4,3,4,4,4,1,4,3,4,3,3,5,4,4
"160",5,5,3,5,4,1,4,5,5,5,5,5,4,5,4,1,1,4,5,5
"332",5,5,3,5,3,3,5,5,5,1,5,4,5,5,5,2,4,5,5,4
"437",5,2,3,1,2,4,4,4,5,4,3,1,3,3,5,4,1,2,4,3
"14",4,5,5,5,1,3,5,5,3,4,3,2,4,3,4,5,3,5,5,5
"492",5,2,4,2,3,2,4,4,4,3,4,5,4,4,5,4,4,4,4,3
"169",4,4,5,4,3,4,4,4,3,4,5,4,5,5,5,5,5,5,5,4
"223",3,3,4,3,3,2,4,4,2,2,3,2,5,3,4,3,3,4,4,4
"301",5,4,5,5,4,4,5,5,4,5,5,1,5,5,5,1,5,5,5,5
"521",5,3,3,4,1,2,5,2,5,4,5,4,2,3,5,4,4,5,4,4
"36",1,3,5,5,1,5,5,2,1,5,5,1,1,1,5,1,1,1,5,2
"203",3,4,4,4,2,4,5,4,5,3,3,1,4,3,5,3,3,3,5,4
"197",3,4,4,4,3,5,4,3,3,4,3,2,3,3,5,3,4,3,4,3
"299",5,4,4,4,3,4,4,4,4,4,2,2,4,4,5,3,4,5,5,3
"337",5,5,3,5,1,1,5,1,3,5,5,2,3,3,4,1,4,4,5,5
"7",3,4,3,3,2,4,2,4,3,3,3,1,3,4,4,3,1,2,4,3
"91",5,5,1,5,2,1,5,4,5,2,3,5,4,5,5,5,4,5,5,5
"13",4,4,4,4,2,2,4,1,4,1,3,1,4,3,4,3,3,3,4,3
"138",4,3,3,2,2,2,4,4,3,4,4,4,4,4,4,4,2,5,3,3
"268",4,3,2,4,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4
"24",5,4,4,1,4,4,3,2,5,4,4,5,5,5,2,1,5,5,5,3
"173",5,4,2,5,1,1,4,4,5,4,5,2,5,5,5,1,5,3,5,5
"113",5,3,3,3,4,2,4,3,4,2,5,3,3,5,3,2,3,5,4,3
"219",5,5,2,5,2,2,5,4,4,4,3,2,4,4,4,4,3,5,5,4
"315",5,5,5,5,4,5,5,2,5,5,5,2,5,5,5,4,4,5,5,5
"478",4,3,4,4,3,4,5,4,4,3,4,3,4,4,4,5,5,4,4,5
"316",3,5,5,5,3,5,5,3,5,3,1,3,5,3,3,1,5,3,5,5
"139",3,3,2,3,3,2,3,4,3,4,2,3,3,4,4,2,5,4,4,3
"477",3,2,3,4,3,4,4,2,4,5,3,1,2,4,4,4,1,4,4,4
"503",5,4,2,4,3,4,4,3,4,3,2,2,5,5,2,4,3,5,4,4
"154",5,4,4,4,4,5,5,1,4,4,5,4,4,3,5,2,4,4,4,5
"96",4,3,3,5,2,4,5,1,3,4,4,2,4,4,4,2,4,2,4,2
"504",5,4,3,4,5,3,4,2,5,3,5,3,5,5,5,4,5,5,5,5
"57",5,4,2,4,4,2,4,5,5,5,4,1,5,5,5,4,5,5,4,5
"94",3,3,3,4,3,3,4,3,4,3,3,2,5,3,5,3,3,5,4,5
"279",5,4,2,4,5,1,4,5,4,2,5,2,5,5,5,5,2,5,5,5
"228",2,4,3,4,2,4,3,4,3,4,2,3,3,2,3,3,2,3,5,3
"300",5,3,3,4,2,2,4,3,4,2,4,2,4,5,5,3,4,4,5,4
"247",5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5
"70",5,2,2,4,2,2,4,2,4,4,2,4,4,4,4,4,3,4,4,3
"155",5,1,3,1,4,5,1,3,5,3,5,5,5,5,5,1,5,5,5,5
"240",5,4,2,4,4,4,4,3,4,3,3,3,4,3,5,4,3,5,4,3
"2",5,4,3,4,3,4,5,4,3,3,5,2,5,4,3,4,3,5,5,4
"340",4,4,4,4,4,4,4,3,4,2,3,2,4,4,5,4,4,5,5,4
"27",4,3,3,3,2,3,4,4,4,3,5,3,3,4,4,4,4,4,4,4
"218",5,2,4,4,3,1,4,4,4,3,2,3,3,4,5,3,3,4,4,4
"356",5,3,3,5,1,4,5,2,5,3,4,3,4,4,5,2,4,5,5,4
"222",4,3,4,4,2,3,3,3,3,3,5,1,4,3,5,3,3,4,4,4
"441",2,4,4,4,3,3,3,4,2,3,3,3,2,2,3,3,2,3,3,3
"108",5,3,4,5,3,5,5,2,5,4,3,4,4,5,4,4,3,5,5,4
"461",4,4,3,4,3,3,4,4,4,4,4,1,5,4,5,3,3,5,5,4
"172",5,4,2,5,4,1,5,2,5,1,3,5,5,5,5,4,5,4,5,4
"285",3,3,4,4,3,3,4,4,2,4,3,3,4,3,4,3,3,4,4,4
"453",5,3,3,4,4,2,4,2,5,2,4,4,4,3,4,3,4,5,4,4
"212",3,2,3,4,4,3,3,3,4,3,2,5,5,4,5,3,4,5,4,3
"174",3,4,3,4,1,4,4,4,4,3,2,2,4,2,2,2,3,4,5,4
"66",5,4,3,5,2,2,4,2,5,3,5,1,3,5,5,3,5,5,4,4
"359",5,1,2,5,3,1,5,1,4,1,5,5,2,5,5,4,5,3,5,4
"196",5,4,3,5,2,4,4,4,3,4,5,4,4,3,5,3,3,3,5,5
"298",4,3,3,5,3,4,5,4,5,3,4,3,3,5,3,3,3,5,3,3
"263",3,5,3,3,3,4,1,3,5,2,2,4,4,4,3,4,4,4,4,4
"540",2,3,3,4,3,2,3,3,2,3,5,2,3,2,2,3,3,3,3,4
"235",3,2,2,1,3,2,1,3,5,1,3,1,5,4,5,3,5,3,4,1
"516",5,5,5,5,2,5,5,1,5,4,4,1,5,4,5,5,2,5,5,5
"349",3,3,5,5,3,3,5,3,3,3,3,5,5,5,5,3,5,3,5,5
"61",5,5,2,4,3,1,4,3,4,3,5,1,4,5,5,2,4,5,5,5
"284",3,3,3,4,3,3,4,3,4,3,4,3,3,3,3,3,3,3,4,3
"216",3,2,3,3,3,3,2,1,4,3,3,3,3,3,3,3,3,4,3,3
"312",5,5,5,5,5,3,5,5,4,5,5,1,4,5,5,5,1,4,5,5
"243",5,3,3,4,2,4,4,2,4,4,4,2,4,3,5,2,4,4,3,3
"89",4,3,4,4,4,3,4,4,4,4,2,2,4,4,4,4,4,5,4,4
"319",5,3,1,5,4,1,3,3,4,3,5,1,5,4,5,3,3,5,5,4
"166",3,3,2,3,4,3,4,3,3,4,3,2,4,3,4,3,3,3,4,4
"68",3,3,4,2,3,3,4,2,2,3,4,2,2,4,4,2,4,2,3,3
"459",5,3,3,4,2,3,4,3,4,3,5,4,5,4,5,3,3,4,4,4
"488",4,3,4,4,2,4,4,4,5,1,2,5,4,4,5,2,4,4,4,3
"78",4,4,5,2,4,4,5,2,4,2,5,4,5,5,5,3,4,4,5,4
"181",5,1,2,4,3,2,5,4,5,3,5,3,5,4,4,4,4,4,5,4
"184",4,3,2,4,2,3,4,3,4,3,1,4,4,4,5,4,4,3,4,4
"75",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"239",3,4,3,3,3,3,3,4,2,4,5,1,4,2,5,4,3,3,5,5
"32",4,4,4,4,4,4,4,3,4,4,5,2,4,4,5,4,3,4,4,4
"548",5,4,3,4,2,4,4,1,3,2,4,2,5,2,5,3,4,5,5,2
"77",5,4,4,4,4,4,4,4,5,4,5,5,5,5,5,4,4,5,4,4
"251",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"514",4,3,3,2,2,2,2,4,4,3,3,2,4,4,4,5,4,4,5,4
"517",5,4,3,4,3,1,3,4,4,3,5,5,5,4,5,5,3,3,4,4
"107",5,4,3,4,2,4,4,2,3,4,5,4,4,3,4,3,4,5,5,4
"345",4,3,4,4,2,5,3,3,4,2,3,1,4,4,5,4,4,2,5,4
"122",4,3,3,3,2,2,3,2,3,1,4,2,4,4,4,3,4,2,3,2
"534",5,3,2,5,2,2,4,3,4,2,5,3,5,5,5,1,5,5,5,5
"406",5,3,3,4,3,2,4,4,3,3,5,4,2,5,4,3,4,2,4,3
"445",5,3,3,3,3,2,3,3,4,4,5,4,5,4,5,4,4,5,4,3
"527",5,4,3,4,4,2,5,4,5,5,5,1,5,5,5,2,4,4,5,4
"4",4,5,3,5,1,3,5,3,3,3,1,1,3,3,5,4,1,3,5,5
"281",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"309",5,5,5,5,1,1,5,3,5,5,5,5,5,5,5,1,5,5,5,5
"253",3,3,5,5,1,5,5,5,5,3,5,1,4,4,5,3,5,3,5,5
"330",4,4,2,4,3,4,4,4,4,5,4,1,4,4,4,4,4,5,5,5
"556",4,2,3,1,4,2,3,3,4,3,4,4,4,5,4,4,5,3,3,1
"21",3,5,4,5,2,5,5,2,2,3,3,2,4,4,4,4,3,4,5,5
"189",5,2,2,4,2,4,4,4,4,3,2,4,5,4,5,4,4,4,4,4
"295",4,4,4,4,4,4,4,2,3,3,1,2,3,3,3,3,2,5,5,4
"30",5,4,2,4,3,5,5,4,5,4,3,5,4,5,4,2,4,5,5,5
"16",4,4,3,4,3,3,4,3,4,4,3,2,4,4,3,4,2,4,4,4
"439",4,2,2,5,5,3,2,2,5,3,4,4,5,3,4,3,2,5,3,3
"28",5,3,2,2,3,3,3,3,4,3,3,2,3,3,3,3,3,4,3,3
"209",3,2,3,2,3,3,3,3,3,2,3,3,3,4,3,3,2,3,4,5
"83",5,2,4,3,3,1,5,4,5,2,5,5,3,4,4,2,4,4,5,4
"256",5,5,3,5,4,1,5,5,4,3,1,4,5,5,5,5,5,5,5,3
"188",5,5,1,5,2,1,5,1,5,3,5,1,5,5,5,2,3,5,5,5
"389",4,2,3,4,3,3,3,3,4,2,2,3,3,3,3,3,3,3,4,3
"88",5,4,4,3,2,4,3,4,5,3,5,4,4,5,5,4,4,3,4,2
"335",4,1,1,1,2,1,4,3,5,2,2,5,4,5,4,3,5,3,3,3
"350",4,1,2,4,3,3,4,3,5,2,3,3,4,4,4,3,5,5,4,3
"549",3,3,3,3,2,4,3,5,3,4,5,1,3,3,3,3,2,3,3,4
"64",4,2,3,4,3,2,2,2,4,3,5,2,3,4,3,2,2,2,4,4
"103",3,4,4,4,2,4,4,4,4,4,4,2,4,3,4,4,3,3,4,4
"43",5,4,4,5,1,5,5,3,5,5,3,3,5,5,5,5,3,5,5,5
"179",4,4,5,4,2,2,4,3,5,4,3,4,4,4,3,4,3,5,5,5
"267",4,4,3,4,3,3,4,2,5,1,3,3,5,4,5,4,2,5,5,4
"249",5,4,2,3,3,3,3,3,5,2,3,3,5,5,5,5,5,5,4,4
"450",4,2,3,3,2,3,4,3,4,4,3,4,3,3,2,5,2,5,4,3
"481",5,3,3,4,2,3,4,4,3,4,4,3,5,3,5,4,4,5,4,5
"269",5,5,3,5,3,3,5,5,5,1,5,1,5,5,5,5,5,5,5,5
"261",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"499",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"123",4,1,4,5,1,4,4,4,5,4,5,5,5,5,5,2,2,5,5,5
"86",4,4,4,4,3,4,3,3,5,4,3,4,4,4,4,4,3,3,4,3
"543",4,3,1,4,2,1,5,4,5,3,4,4,5,5,5,1,3,5,5,4
"471",5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
"56",2,4,4,4,4,2,4,3,3,3,3,4,5,4,4,4,2,2,4,3
"427",5,2,2,5,4,4,5,4,5,3,5,5,5,4,5,5,4,5,5,4
"176",4,3,4,2,3,4,4,4,4,2,2,4,4,4,4,2,3,5,4,3
"128",4,5,2,5,5,3,5,1,3,4,4,1,3,4,5,4,1,5,5,5
"157",5,5,3,5,2,4,5,5,3,3,5,4,5,4,5,3,5,5,5,5
"262",4,4,3,4,2,3,4,4,4,4,4,3,3,4,4,4,3,3,4,4
"167",2,4,4,3,2,2,3,1,2,3,2,5,2,2,3,3,3,4,4,3
"136",5,4,1,5,3,1,5,3,5,4,5,2,5,4,5,4,2,4,5,5
"102",5,4,3,4,3,2,4,4,5,3,3,4,4,5,4,3,4,3,5,4
"67",4,5,5,4,2,4,3,2,4,4,3,1,3,4,5,3,4,3,2,3
"271",5,3,4,4,2,3,4,2,3,2,5,3,4,3,3,3,3,3,4,3
"329",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"469",5,4,2,5,2,4,5,1,5,4,5,2,5,4,5,2,2,5,5,4
"442",5,4,2,4,2,4,4,3,4,2,3,5,5,4,5,3,4,3,4,4
"275",5,5,3,5,2,3,2,3,5,4,2,2,5,4,5,4,3,4,4,4
"457",3,2,2,4,3,2,4,3,3,3,3,3,4,3,5,4,3,4,4,4
"538",5,3,4,3,1,5,4,1,5,1,5,5,5,5,5,5,4,5,5,5
"79",5,3,3,4,3,4,4,1,5,3,5,5,5,5,5,4,5,5,4,4
"51",5,5,2,5,3,4,5,4,5,2,4,4,5,5,4,5,4,5,5,5
"302",5,5,5,5,4,4,5,4,4,5,2,2,5,4,5,4,4,4,5,5
"54",4,3,3,4,2,2,5,3,4,4,4,3,4,3,5,2,3,3,4,4
